rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",1,1,8,"12091558"
2,"spotify:track:3hpm0fTeSqlhJbnqAgaLZs","Fuerza Regida","Marlboro Rojo","Rancho Humilde/Street Mob Records/Sony Music Latin",1,2,8,"9643774"
3,"spotify:track:4oB8Xd7gMlUEtWoD8bmCXW","Neton Vega, Peso Pluma","Morena","Josa Records",1,3,19,"8545181"
4,"spotify:track:7585wxMp2e3IhBq3tJAXgw","Calle 24","SUIZA","WEA Latina",4,5,9,"6632438"
5,"spotify:track:56bPsRfOKla3bGGmVz1uk4","Los Dareyes De La Sierra","Frecuencia","Double P Records",5,132,2,"6072481"
6,"spotify:track:3jS9G4KmuOwuawj3k4Smpc","Los Dareyes De La Sierra, Tito Double P","Vita Fer","Double P Records",2,6,13,"6011814"
7,"spotify:track:1a7onn7lPqqRWul5ogyMyX","Fuerza Regida","ANSIEDAD","Rancho Humilde/Street Mob Records/Sony Music Latin",7,9,8,"5815878"
8,"spotify:track:27aWzQn0uCuEwHkNlKi1jP","Oscar Maydon, Peso Pluma","Asquerosamente Rico","Rancho Humilde/Sony Music Latin",4,4,3,"5746695"
9,"spotify:track:77pDO4WZPIdkwFve0iHWnb","Fuerza Regida","Por Esos Ojos","Rancho Humilde/Street Mob Records/Sony Music Latin",3,8,20,"5522430"
10,"spotify:track:5MBAaEt7s8El3WWhYinLzv","Oscar Maydon, Neton Vega","Amigos? No.","Rancho Humilde/Sony Music Latin",4,7,16,"5303781"
11,"spotify:track:4LDd2UU8XdtJRrIyPvR9vW","Alan Arrieta","Ay Mamita","Alan Arrieta/Del Norte Music",7,10,5,"5219130"
12,"spotify:track:2JPctdUgvkQSpnUdfROxvY","Alemán, Neton Vega","Te Quería Ver","HOMEGROWN MAFIA S.A. DE C.V./Sony Music México-Latin",1,11,21,"5040670"
13,"spotify:track:3KgHiAVuP88QoQs9CO4z1P","Tito Double P","TATTOO","Double P Records",1,12,17,"4934959"
14,"spotify:track:0TOQQZVCZdMFMxzHT6WEtD","Marcos Villalobos, Alan Arrieta","La Pantera","Gheef",14,15,11,"4821172"
15,"spotify:track:6uroNiDEDd0xFLiri0aQNk","Esau Ortiz","Triple Lavada","ESAU ORTIZ AZUARA/Sony Music Latin",3,13,12,"4709835"
16,"spotify:track:07bruo5RoHasGqnun1Z31S","Neton Vega, Tito Double P","Chiquita","Josa Records",16,16,19,"4666552"
17,"spotify:track:4N1dogCaVWnGyFdPjdqNWF","Clave Especial, Fuerza Regida","COMO CAPO","WEA Latina",5,17,18,"4652235"
18,"spotify:track:0L5gbpFGU06vqSHacOxgka","Clave Especial, Edgardo Nuñez","TU TU TU","WEA Latina",4,18,14,"4509117"
19,"spotify:track:3t72JCbFJ3syOhFC7x9Pa4","Neton Vega","M&M","Josa Records",5,19,19,"4410586"
20,"spotify:track:4eLDmhsJW3JoZTXCAozHor","Neton Vega","Loco","Josa Records",1,20,27,"4342649"
21,"spotify:track:44xDy4h27s4ENaC8fKnCoC","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",21,21,26,"4311456"
22,"spotify:track:4e76Ss3ji7HQZ4qwcPNkNA","Junior H","MIENTRAS DUERMES","WEA Latina",22,29,33,"4161779"
23,"spotify:track:3D24ErT1MMmUfXWotSj2A2","Fuerza Regida, Grupo Frontera","ME JALO","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",5,22,27,"4068861"
24,"spotify:track:7DkOpEOBOwHg6VBj4blikS","Esau Ortiz, Luis R Conriquez, Oscar Maydon, Alemán, Victor Mendivil","Triple Lavada (feat. Victor Mendivil) - Remix","ESAU ORTIZ AZUARA/Sony Music Latin",6,14,4,"4035465"
25,"spotify:track:1CDo1ZxKO7LxGIZNYZ4nFL","Natanael Cano","Blancanieves","WEA Latina",25,-1,1,"4028150"
26,"spotify:track:6X3h549Z7LJk881NPI5kTa","Gabito Ballesteros, Tito Double P","7 DÍAS","Los CT Records",1,24,21,"3968044"
27,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",15,25,27,"3870491"
28,"spotify:track:5LHPcY9yd0hWVFIW4yfOCJ","Chuyin, Fuerza Regida, Jorsshh, Calle 24","Pika Pika","Street Mob Records",6,27,25,"3830761"
29,"spotify:track:116NyTQvOVrcAWLrGwTiSA","Ian Cordova","Linda Mujer","Lucky Music Group",18,28,8,"3761392"
30,"spotify:track:5mp6OBKCAjN4UYRvhOuUze","Oscar Maydon, Fuerza Regida","Tu Boda","Rancho Humilde/Sony Music Latin",1,30,39,"3633944"
31,"spotify:track:5lKFO0PrOC9jmOlPEdjHsL","Tito Double P, Peso Pluma","DOS DÍAS","2024 Double P Records",2,26,44,"3606250"
32,"spotify:track:5GTBdEjZe7zEDp1N0eCZE4","Peso Pluma, Estevan Plazola","HOLLYWOOD","2024 Double P Records",16,32,53,"3466699"
33,"spotify:track:0mfemgLsr0ucLSOBOc4xJ0","Tito Double P","CHAMPAGNE","Double P Records",4,23,6,"3236614"
34,"spotify:track:4OLT65TRsOx3Iv1TlCcQVb","Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega","PRESIDENTE","Los CT Records",2,40,36,"3232895"
